Author,Title,State,District,Ban Status,Year,AI_Theme,AI_Theme_Confidence,AI_Theme_Reason
"Pitman, Gayle E.",This Day in June,Iowa,Norwalk Community School District,Banned pending investigation,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Pitman, Gayle E.",This Day in June,Iowa,Pocahontas Area Community School District,Banned,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Plath, Sylvia",The Bell Jar,Florida,Escambia County Public Schools,Banned pending investigation,2023,Mental Health,high,Mental health struggles are central.
"Plowden, David",Bridges: The Spans of North America,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Poehler, Amy",Yes Please,Florida,Clay County School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Poehler, Amy",Yes Please,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Poehler, Amy",Yes Please,Florida,Lee County Schools,Banned by restriction,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Poehler, Amy",Yes Please,Florida,Orange County Public Schools,Banned by restriction,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Pohl, Laura",The First 7,Texas,North East Independent School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Pohl, Laura",The Last 8,Texas,North East Independent School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Pohlen, Jerome","Gay and Lesbian History for Kids: The Century-Long Struggle LGBT Rights, with 21 Activities",South Carolina,Horry County Schools,Banned,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Polacco, Patricia",In Our Mothers' House,Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Polonsky, Ami",Gracefully Grayson,Florida,Clay County School District,Banned pending investigation,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Polonsky, Ami",Gracefully Grayson,Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Polonsky, Ami",Gracefully Grayson,Iowa,Dallas Center-Grimes Community School District,Banned pending investigation,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Polonsky, Ami",Gracefully Grayson,Iowa,Norwalk Community School District,Banned pending investigation,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Polonsky, Ami",Gracefully Grayson,Iowa,United Community School District,Banned,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Polonsky, Ami",Gracefully Grayson,Iowa,Winterset Community School District,Banned,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Pomplun, Tom",Robert Louis Stevenson,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Poniatowska, Elena",Tinisima,Florida,Orange County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Ponti, James",Blue Moon (JP),Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Ponti, James",Dark Days,Florida,Escambia County Public Schools,Banned pending investigation,2023,Mental Health,low,"Emotional struggle suggested, but details unclear."
"Ponti, James",Dead City,Florida,Escambia County Public Schools,Banned pending investigation,2023,Violence / Trauma,high,"Violence, death, abuse, or trauma appears central."
"Pool, Katy Rose",There Will Come a Darkness,Florida,Escambia County Public Schools,Banned pending investigation,2023,Violence / Trauma,high,"Violence, death, abuse, or trauma appears central."
"Poole, H. W.",Dealing With Dating and Romance,Texas,North East Independent School District,Banned,2023,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"Portman, Frank",King Dork,Florida,Collier County Public Schools,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Portman, Frank",King Dork,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Positano, Rock G.",Dinner with Dimaggio: Memories of an American Hero,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Potter, Patricia",Behind the Shadows,Florida,Orange County Public Schools,Banned by restriction,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Povich, Lynn",The Good Girls Revolt: How the Women of Newsweek Sued their Bosses and Changed the Workplace,Iowa,Indianola Community School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Powell, Randy",The Whistling Toilets,Florida,Orange County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Prager, Sarah",Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,Iowa,Norwalk Community School District,Banned pending investigation,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Presley, Elvis",Elvis Presley's Love Me Tender,Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Preston, Natasha",The Cabin,Florida,Orange County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Preston, Natasha",The Cabin,Maine,Hermon School Department,Banned by restriction,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Preston, Natasha",The Cellar,Florida,Orange County Public Schools,Banned pending investigation,2023,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Preston, Natasha",The Cellar,Iowa,Ankeny Community School District,Banned pending investigation,2023,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Preston, Natasha",The Cellar,Iowa,Bondurant-Farrar Community School District,Banned pending investigation,2023,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Preston, Natasha",The Cellar,Iowa,Winterset Community School District,Banned,2023,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Preston, Natasha",The Cellar,Maine,Hermon School Department,Banned by restriction,2023,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Pride, Felicia",Hallway Diaries,Florida,Escambia County Public Schools,Banned pending investigation,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Prince, Liz",Tomboy: A Graphic Memoir,Florida,Clay County School District,Banned by restriction,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Prior, Natalie Jane","Caves, Graves, and Catacombs: Secrets from Beneath the Earth",Florida,Orange County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Prose, Francine",Touch,Wisconsin,Elkhorn Area School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Proulx, Annie",Close Range: Wyoming Stories,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Proust, Marcel","Swann's Way: In Search of Lost Time, Vol. 1",Florida,Orange County Public Schools,Banned pending investigation,2023,Mental Health,low,"Emotional struggle suggested, but details unclear."
"Proust, Marcel",The Past Recaptured,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Prout, Chessy","I Have the Right To: A High School Survivor's Story of Sexual Assault, Justice and Hope",Iowa,Dallas Center-Grimes Community School District,Banned pending investigation,2023,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"Prout, Chessy","I Have the Right To: A High School Survivor's Story of Sexual Assault, Justice and Hope",Iowa,Decorah Community School District,Banned pending investigation,2023,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"Prout, Chessy","I Have the Right To: A High School Survivor's Story of Sexual Assault, Justice and Hope",Iowa,Edgewood-Colesburg Community School District,Banned,2023,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"Prout, Chessy","I Have the Right To: A High School Survivor's Story of Sexual Assault, Justice and Hope",Texas,North East Independent School District,Banned,2023,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"Pulitzer, Lisa Beth","Portrait of a Monster: Joran van der Sloot, A Murder in Peru, and the Natalee Holloway Mystery",Maine,Hermon School Department,Banned by restriction,2023,Violence / Trauma,high,"Violence, death, abuse, or trauma appears central."
"Pullman, Philip",His Dark Materials,Florida,Escambia County Public Schools,Banned pending investigation,2023,Religion,high,Religious themes or objections are central.
"Pullman, Philip",The Amber Spyglass,Florida,Escambia County Public Schools,Banned pending investigation,2023,Religion,medium,Author/work is often linked to religious objections.
"Pullman, Philip",The Book of Dust: La Belle Sauvage,Florida,Orange County Public Schools,Banned pending investigation,2023,Religion,medium,Author/work is often linked to religious objections.
"Pullman, Philip",The Shadow in the North,Florida,Collier County Public Schools,Banned,2023,Religion,medium,Author/work is often linked to religious objections.
"Purdie, Kathryn",Burning Glass,Florida,Clay County School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Purdie, Kathryn",Burning Glass,Florida,Orange County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Puzo, Mario",The Family,Florida,Orange County Public Schools,Banned by restriction,2023,Other / Unclear,low,"Inclusive theme possible, but specific issue unclear."
"Quach, Michelle",Not Here to be Liked,Florida,Clay County School District,Banned pending investigation,2023,LGBTQ+ / Gender,medium,Women’s or gender representation is central.
"Quick, Matthew",Boy 21,Florida,Escambia County Public Schools,Banned pending investigation,2023,Mental Health,medium,Author/work often centers teen mental health.
"Quick, Matthew","Forgive Me, Leonard Peacock",Florida,Escambia County Public Schools,Banned pending investigation,2023,Mental Health,high,Mental health struggles are central.
"Quick, Matthew","Forgive Me, Leonard Peacock",Iowa,WACO Community School District,Banned,2023,Mental Health,high,Mental health struggles are central.
"Quick, Matthew","Forgive Me, Leonard Peacock",Iowa,West Burlington Independent School District,Banned,2023,Mental Health,high,Mental health struggles are central.
"Quin, Sara",High School,Florida,Clay County School District,Banned,2023,LGBTQ+ / Gender,medium,Women’s or gender representation is central.
"Quin, Tegan",Tegan and Sara: Junior High,Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,LGBTQ+ / Gender,medium,Women’s or gender representation is central.
"Quindlen, Anna",Black and Blue,Florida,Escambia County Public Schools,Banned pending investigation,2023,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Quindlen, Anna",Blessings,Florida,Collier County Public Schools,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Quindlen, Kelly",She Drives Me Crazy,Oregon,Helix School District,Banned by restriction,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Quintero, Isabel","Gabi, a Girl in Pieces",Florida,Duval County Public Schools,Banned pending investigation,2023,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Quintero, Isabel","Gabi, a Girl in Pieces",Florida,Orange County Public Schools,Banned by restriction,2023,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Quintero, Isabel","Gabi, a Girl in Pieces",Iowa,Shenandoah Community School District,Banned,2023,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Quintero, Isabel","Gabi, a Girl in Pieces",Iowa,Winterset Community School District,Banned,2023,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Quintero, Isabel","Gabi, a Girl in Pieces",Texas,Conroe Independent School District,Banned,2023,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Quintero, Isabel","Gabi, a Girl in Pieces",Wisconsin,Elkhorn Area School District,Banned pending investigation,2023,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Racquel, Marie",Ophelia After All,Georgia,Cobb County School District,Banned pending investigation,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Radish, Kris",The Elegant Gathering of White Snows,Florida,Orange County Public Schools,Banned by restriction,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rainfield, Cheryl",Scars,Iowa,CAM Community School District,Banned,2023,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Rainfield, Cheryl",Scars,Texas,Fort Worth Independent School District,Banned pending investigation,2023,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Ramadan, Danny",Salma the Syrian Chef,Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,Religion,medium,Religious identity or belief appears central.
"Ramée, Lisa Moore",A Good Kind of Trouble,Wisconsin,Elkhorn Area School District,Banned pending investigation,2023,Race / Racism,high,"Race, racism, or cultural identity is central."
"Ramirez, David",The Forever Watch,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Ramsey, Martha",Where I Stopped,Iowa,Dallas Center-Grimes Community School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rand, Ayn",Atlas Shrugged,Florida,Collier County Public Schools,Banned,2023,Political / Social Issues,high,"Power, politics, or social systems are central."
"Rand, Ayn",Atlas Shrugged,Florida,Escambia County Public Schools,Banned pending investigation,2023,Political / Social Issues,high,"Power, politics, or social systems are central."
"Rand, Ayn",The Fountainhead,Florida,Clay County School District,Banned,2023,Political / Social Issues,high,"Power, politics, or social systems are central."
"Rand, Ayn",The Fountainhead,Florida,Collier County Public Schools,Banned,2023,Political / Social Issues,high,"Power, politics, or social systems are central."
"Rand, Ayn",The Fountainhead,Florida,Escambia County Public Schools,Banned pending investigation,2023,Political / Social Issues,high,"Power, politics, or social systems are central."
"Rand, Ayn",The Fountainhead,Florida,Orange County Public Schools,Banned by restriction,2023,Political / Social Issues,high,"Power, politics, or social systems are central."
"Rand, Ayn",The Fountainhead,Florida,Santa Rosa County Schools,Banned,2023,Political / Social Issues,high,"Power, politics, or social systems are central."
"Rand, Ayn",We the Living,Florida,Charlotte County Public Schools,Banned,2023,Political / Social Issues,high,"Power, politics, or social systems are central."
"Rapinoe, Megan",One Life,Iowa,Norwalk Community School District,Banned pending investigation,2023,LGBTQ+ / Gender,medium,Women’s or gender representation is central.
"Rapinoe, Megan",One Life,Kentucky,Boyle County Schools,Banned,2023,LGBTQ+ / Gender,medium,Women’s or gender representation is central.
"Rapp, Adam",33 Snowfish,Florida,Santa Rosa County Schools,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rapp, Adam",33 Snowfish,Florida,Seminole County Public Schools,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rapp, Adam",33 Snowfish,Florida,St. John's County School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rapp, Adam",33 Snowfish,Wisconsin,Elkhorn Area School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rapp, Adam",Punkzilla,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rapp, Adam",Punkzilla,Florida,Orange County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rapp, Adam",Punkzilla,Florida,Seminole County Public Schools,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rawles, Nancy",My Jim: A Novel,Florida,Indian River County Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rawles, Nancy",My Jim: A Novel,Wisconsin,Elkhorn Area School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rayne, Karen","Girl: Love, Sex, Romance and Being You",Texas,Katy Independent School District,Banned,2023,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"Reed, Amy",Beautiful,Florida,Collier County Public Schools,Banned,2023,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Reed, Amy",Beautiful,Florida,Duval County Public Schools,Banned pending investigation,2023,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Reed, Amy",Beautiful,Florida,Hernando County Schools,Banned,2023,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Reed, Amy",Beautiful,Florida,Orange County Public Schools,Banned,2023,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Reed, Amy",Beautiful,Florida,Seminole County Public Schools,Banned,2023,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Reed, Amy",Beautiful,Iowa,Cedar Falls Community School District,Banned pending investigation,2023,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Reed, Amy",Beautiful,Iowa,Council Bluffs Community School District,Banned pending investigation,2023,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Reed, Amy",Beautiful,Tennessee,Rutherford County Schools,Banned,2023,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Reed, Amy",Clean,Florida,Collier County Public Schools,Banned,2023,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Reed, Amy",Over You,Florida,Collier County Public Schools,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Boy and Girl Who Broke the World,Iowa,Spirit Lake Community School District,Banned,2023,Political / Social Issues,low,"Social or political theme possible, but unclear."
"Reed, Amy",The Nowhere Girls,Florida,Bay District Schools,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Florida,Charlotte County Public Schools,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Florida,Collier County Public Schools,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Florida,Lake County Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Florida,Okaloosa County School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Florida,Seminole County Public Schools,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Idaho,West Ada School District,Banned by restriction,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Iowa,CAM Community School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Iowa,Council Bluffs Community School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Iowa,Dallas Center-Grimes Community School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Iowa,Indianola Community School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Iowa,Linn-Mar Community School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Iowa,Spencer Community School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Iowa,Union Community School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Iowa,Urbandale Community School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Iowa,Van Buren County Community School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Iowa,West Des Moines Community Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Iowa,Winterset Community School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,North Carolina,Burke County Public Schools,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Texas,Fort Worth Independent School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Texas,Plano Independent School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Virginia,Fluvanna School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Virginia,Spotsylvania County Public Schools,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Amy",The Nowhere Girls,Wyoming,Laramie County School District No. 1,Banned by restriction,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reed, Christina Hammonds",The Black Kids,Florida,Escambia County Public Schools,Banned pending investigation,2023,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Reed, Jennifer",The AIDS Epidemic: Disaster and Survival,Florida,Escambia County Public Schools,Banned pending investigation,2023,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"Reed, M. K.",The Cute Girl Network,Florida,Orange County Public Schools,Banned pending investigation,2023,Sexuality / Sex Education,high,Sexual content or relationships are central.
"Reedy, Trent",Burning Nation,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rees, Celia",Pirates!,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rees, Celia",This is Not Forgiveness,Wisconsin,Elkhorn Area School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reese, Jenn",A Game of Fox and Squirrels,Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reeve, Philip",Fever Crumb,Texas,North East Independent School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reid, Kiley",Such a Fun Age,Florida,Orange County Public Schools,Banned by restriction,2023,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Reid, Taylor Jenkins",The Seven Husbands of Evelyn Hugo,Florida,Lee County Schools,Banned by restriction,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Reid, Taylor Jenkins",The Seven Husbands of Evelyn Hugo,Florida,Orange County Public Schools,Banned by restriction,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Reid, Taylor Jenkins",The Seven Husbands of Evelyn Hugo,Florida,Santa Rosa County Schools,Banned pending investigation,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Reid, Taylor Jenkins",The Seven Husbands of Evelyn Hugo,Iowa,Bondurant-Farrar Community School District,Banned pending investigation,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Reid, Taylor Jenkins",The Seven Husbands of Evelyn Hugo,Iowa,Central Lyon Community School District,Banned,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Reid, Taylor Jenkins",The Seven Husbands of Evelyn Hugo,Iowa,Clarion-Goldfield-Dows Community School District,Banned pending investigation,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Reinert, Dale Robert",Sexual Abuse and Incest,Florida,Escambia County Public Schools,Banned pending investigation,2023,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"Renn, Diana",Tokyo Heist,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Rennison, Louise","Angus, Thongs and Full-Frontal Snogging",Florida,Lee County Schools,Banned by restriction,2023,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Rennison, Louise","Angus, Thongs and Full-Frontal Snogging",Florida,Seminole County Public Schools,Banned by restriction,2023,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Rennison, Louise","Angus, Thongs and Full-Frontal Snogging",Iowa,Eddyville-Blakesburg-Fremont Community School District,Banned,2023,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Rennison, Louise","Angus, Thongs and Full-Frontal Snogging",Iowa,Red Oak School District,Banned,2023,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Rennison, Louise",Are These My Basoomas I See Before Me: Fab Final Confessions of Georgia Nicolson,Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Rennison, Louise",Away Laughing on a Fast Camel: Even More Confessions of Georgia Nicolson,Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Rennison, Louise",Dancing in My Nuddy-Pants: Even Further Confessions of Georgia Nicolson,Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Rennison, Louise","Knocked Out By My Nunga Nungas: Further, Further Confessions of Georgia Nicolson",Florida,Escambia County Public Schools,Banned pending investigation,2023,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Rennison, Louise","Knocked Out By My Nunga Nungas: Further, Further Confessions of Georgia Nicolson",Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Rennison, Louise",Love is a Many Trousered Thing,Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Rennison, Louise","On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson #2)",Florida,Escambia County Public Schools,Banned pending investigation,2023,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"Rennison, Louise","On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson #2)",Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"Rennison, Louise",Startled by His Furry Shorts,Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,Sexuality / Sex Education,high,Sexual content or relationships are central.
"Rennison, Louise",Stop in the Name of Pants!,Florida,Orange County Public Schools,Banned pending investigation,2023,Sexuality / Sex Education,high,Sexual content or relationships are central.
"Rennison, Louise",Stop in the Name of Pants!,Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,Sexuality / Sex Education,high,Sexual content or relationships are central.
"Rennison, Louise","Then He Ate My Boy Entrancers: More Mad, Marvy Convessions of Georgia Nicolson",Iowa,Clear Creek-Amana Community School District,Banned pending investigation,2023,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Resau, Laura",Red Glass,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Revis, Beth",A Million Suns,Iowa,Nevada Community School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Revis, Beth",Across the Universe,Florida,Collier County Public Schools,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Revis, Beth",Across the Universe,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Revis, Beth",Across the Universe,Iowa,Nevada Community School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Revis, Beth",Across the Universe,Iowa,West Burlington Independent School District,Banned,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Revis, Beth",Shades of Earth,Iowa,Nevada Community School District,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reyes, Sonora",The Lesbiana's Guide to Catholic School,Montana,Laurel Public Schools,Banned,2023,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Reynolder, John",Stone Fox,Florida,Orange County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Reynolds, Jan",Amazon Basin: Vanishing Cultures,Florida,Escambia County Public Schools,Banned pending investigation,2023,Other / Unclear,low,Insufficient title/author information to identify a main theme.
